,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
3675,2023-09-27,A,ERW_AMBP2020110161,Retails,Chon Buri,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,5800,1,9
3676,2023-11-27,A,ERW_AMBP2020110201,Reseller,Trat,135898,MOBIL LUBE HD 80W90 4/5,9100,1,11
3677,2023-08-30,A,ERW_AMBP2020110201,Reseller,Trat,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,260,1,8
3678,2023-05-02,A,ERW_AMBP2020110201,Reseller,Trat,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,1960,1,5
3679,2023-02-27,A,ERW_AMBP2020110201,Reseller,Trat,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,8680,1,2
3680,2023-01-24,A,ERW_AMBP2020110206,Reseller,Chachoengsao,140043,MOBIL ATF 3309 12/1,360,1,1
3681,2023-05-03,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143898,MOBIL ATF 220 SYN TECH 20L/PAIL,3900,1,5
3682,2023-05-17,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145496,MOBIL DELVAC Legend 15W40 12/1,500,2,5
3683,2023-06-07,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145572,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 12X1L/CAR,4480,2,6
3684,2023-06-12,A,ERW_AMBP2020110207,Reseller,Chachoengsao,144672,MOBIL 1 Turbo Diesel 5W-40 12X1L/CAR,3680,10,6
3685,2023-12-20,A,ERW_AMBP2020110207,Reseller,Chachoengsao,144672,MOBIL 1 Turbo Diesel 5W-40 12X1L/CAR,4380,10,12
3686,2023-12-20,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143899,MOBIL ATF 220 SYN TECH CTN 12X1L:TH,9260,1,12
3687,2023-07-10,A,ERW_AMBP2020110207,Reseller,Chachoengsao,144672,MOBIL 1 Turbo Diesel 5W-40 12X1L/CAR,4040,10,7
3688,2023-07-10,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145473,MOBIL DELVAC MODERN 15W-40 S DEF CTN 12X1LT:TH,6560,2,7
3689,2023-07-26,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145496,MOBIL DELVAC Legend 15W40 12/1,80,2,7
3690,2023-09-06,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145572,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 12X1L/CAR,780,2,9
3691,2023-09-11,A,ERW_AMBP2020110207,Reseller,Chachoengsao,139840,MOBIL COOLANT READY MIXED 24°C 12X1L/CA,9760,1,9
3692,2023-09-25,A,ERW_AMBP2020110207,Reseller,Chachoengsao,140043,MOBIL ATF 3309 12/1,1020,1,9
3693,2023-09-25,A,ERW_AMBP2020110207,Reseller,Chachoengsao,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,1700,10,9
3694,2023-09-25,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145572,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 12X1L/CAR,4320,2,9
3695,2023-09-27,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145572,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 12X1L/CAR,4840,2,9
3696,2023-11-27,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143354,MOBIL SUPER 2000 10W-40 SG 12X1L/CAR,6100,2,11
3697,2023-11-27,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145572,MOBIL SUPER FRICTION FIGHTER TURBOSPEED 10W-30 12X1L/CAR,1440,2,11
